,Diamond Georgio,Homebush Archie,Off Grid,Barber Cubed,Opawa Barns,Goldstar Portia,Adobe Derulo,Amuri Andy
12-01-2023 13:42:36.108729,"(2.7, 6.0, 4.981818181818182)","(14.0, 32.0, 22.5)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 8.05)","(4.0, 7.2, 5.230769230769231)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:37.391150,"(2.7, 6.0, 4.981818181818182)","(14.0, 32.0, 22.5)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 8.05)","(4.0, 7.2, 5.230769230769231)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:38.686433,"(2.7, 6.0, 4.981818181818182)","(14.0, 32.0, 22.5)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 8.05)","(4.0, 7.2, 5.230769230769231)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:40.113988,"(2.7, 6.0, 4.981818181818182)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 8.05)","(4.0, 7.2, 5.230769230769231)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:41.466868,"(2.7, 6.0, 4.981818181818182)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 8.05)","(4.0, 7.2, 5.822222222222222)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:42.759785,"(2.7, 6.0, 5.405405405405405)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 8.05)","(4.0, 7.2, 5.822222222222222)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:44.030464,"(2.7, 6.0, 5.405405405405405)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 8.05)","(4.0, 7.2, 5.822222222222222)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:45.407924,"(2.7, 6.0, 5.405405405405405)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 8.05)","(4.0, 7.2, 5.822222222222222)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:46.822813,"(2.7, 6.0, 4.9523809523809526)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 8.05)","(4.0, 7.2, 5.822222222222222)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:48.091225,"(2.7, 6.0, 4.9904761904761905)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 8.05)","(4.0, 7.2, 5.822222222222222)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:49.247282,"(2.7, 6.0, 5.078260869565217)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.4, 6.1)","(4.0, 7.2, 5.822222222222222)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:50.500597,"(2.7, 6.0, 5.078260869565217)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.822222222222222)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:51.785923,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.822222222222222)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:53.068093,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.822222222222222)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:54.306329,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.314285714285714)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:55.614560,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.314285714285714)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:56.994895,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.314285714285714)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:58.199749,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 19.333333333333332)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.314285714285714)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:42:59.507409,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 24.2)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.9)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:00.919340,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 24.4)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 25.0)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:02.264394,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 24.4)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 24.363636363636363)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:03.706155,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 24.4)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 24.363636363636363)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:05.038625,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 24.4)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 24.363636363636363)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:06.546959,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 24.4)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 24.363636363636363)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:07.769273,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 24.4)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 24.363636363636363)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:08.959612,"(2.7, 5.9, 4.9625)","(14.0, 32.0, 24.4)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 24.363636363636363)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:10.205378,"(2.7, 6.0, 5.566666666666666)","(14.0, 32.0, 24.4)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 24.363636363636363)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:11.437316,"(2.7, 6.0, 5.566666666666666)","(14.0, 32.0, 24.4)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 24.363636363636363)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:12.703650,"(2.7, 6.0, 4.483333333333333)","(14.0, 34.0, 25.6)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 24.363636363636363)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:13.965995,"(2.7, 5.9, 4.441666666666666)","(14.0, 34.0, 25.6)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 24.363636363636363)","(4.0, 9.6, 6.1)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:15.162523,"(2.7, 5.9, 4.441666666666666)","(15.0, 34.0, 27.0)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 17.333333333333332)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:16.312420,"(2.7, 5.9, 4.441666666666666)","(15.0, 34.0, 27.0)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:17.513513,"(2.7, 5.9, 4.441666666666666)","(15.0, 34.0, 27.0)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:18.720689,"(2.7, 5.9, 4.441666666666666)","(15.0, 34.0, 27.0)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:19.896698,"(2.7, 5.9, 4.441666666666666)","(15.0, 34.0, 27.0)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:21.120121,"(2.7, 5.9, 4.441666666666666)","(15.0, 34.0, 27.0)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:22.294600,"(2.7, 6.0, 4.4)","(15.0, 34.0, 27.0)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:23.464266,"(2.7, 6.0, 4.4)","(15.0, 34.0, 27.0)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:24.612549,"(2.7, 6.0, 4.4)","(15.0, 34.0, 27.0)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:25.845175,"(2.7, 6.0, 4.4)","(15.0, 34.0, 27.0)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:27.078001,"(2.7, 5.9, 4.9625)","(15.0, 34.0, 25.666666666666664)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:28.238502,"(2.7, 5.9, 4.9625)","(15.0, 32.0, 25.666666666666664)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
12-01-2023 13:43:29.430489,"(2.7, 5.9, 4.9625)","(15.0, 32.0, 25.666666666666664)","(13.0, 27.0, 24.692307692307693)","(13.0, 27.0, 22.166666666666664)","(4.0, 9.6, 5.05)","(4.0, 7.2, 5.961904761904762)","(9.0, 25.0, 21.4)","(8.0, 16.0, 12.925)"
