,Blackpool Rex,Wheres The Ship,Shiro Kuma,Canya Beth,Stressful Day,Seats Taken,Zarr Oso,Fat Jack
16-12-2022 13:53:48.633780,"(4.8, 9.0, 5.007142857142857)","(7.0, 12.5, 10.627027027027026)","(9.0, 17.5, 16.45294117647059)","(4.8, 9.4, 8.066666666666666)","(21.0, 65.0, 39.16666666666667)","(4.6, 6.6, 6.248780487804877)","(6.5, 15.5, 7.7124999999999995)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:53:49.792513,"(4.8, 9.0, 5.007142857142857)","(7.0, 12.5, 10.627027027027026)","(9.0, 17.5, 16.45294117647059)","(4.8, 9.4, 7.005263157894737)","(21.0, 65.0, 39.16666666666667)","(4.6, 6.6, 6.419512195121952)","(6.5, 15.5, 7.7124999999999995)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:53:50.940151,"(4.8, 9.0, 5.007142857142857)","(7.0, 12.5, 10.627027027027026)","(9.0, 17.5, 16.45294117647059)","(4.8, 7.4, 7.005263157894737)","(21.0, 65.0, 39.16666666666667)","(4.6, 6.8, 6.419512195121952)","(6.5, 15.5, 7.7124999999999995)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:53:52.020669,"(4.8, 9.0, 5.007142857142857)","(7.0, 12.5, 6.908333333333333)","(9.0, 17.5, 11.700000000000001)","(4.8, 7.4, 7.005263157894737)","(21.0, 65.0, 39.16666666666667)","(4.6, 6.8, 6.419512195121952)","(6.5, 15.5, 7.7124999999999995)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:53:53.121345,"(4.8, 9.0, 5.007142857142857)","(7.0, 12.5, 6.908333333333333)","(9.0, 17.5, 11.700000000000001)","(4.8, 8.0, 7.610810810810811)","(21.0, 65.0, 39.16666666666667)","(4.6, 6.8, 6.419512195121952)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:53:54.172989,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.552941176470588)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.0, 6.25)","(21.0, 65.0, 36.25)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:53:55.219560,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.552941176470588)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.0, 6.25)","(21.0, 65.0, 36.25)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:53:56.270005,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.552941176470588)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.0, 6.25)","(21.0, 65.0, 36.25)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:53:57.308381,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.552941176470588)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.0, 6.25)","(21.0, 65.0, 36.25)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:53:58.372713,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.552941176470588)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.0, 6.25)","(21.0, 65.0, 36.25)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:53:59.420166,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.552941176470588)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.0, 6.25)","(21.0, 65.0, 40.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:54:00.517836,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.552941176470588)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 40.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:54:01.622493,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.552941176470588)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 40.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:54:02.698262,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.552941176470588)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 40.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:54:03.748122,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.552941176470588)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 40.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:54:04.814657,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:54:05.845260,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.11764705882353)"
16-12-2022 13:54:06.812073,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.2823529411764705)"
16-12-2022 13:54:07.843761,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.6, 6.2823529411764705)"
16-12-2022 13:54:08.881905,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.6, 6.2823529411764705)"
16-12-2022 13:54:09.945422,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.6, 6.2823529411764705)"
16-12-2022 13:54:10.994785,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.6, 6.2294117647058815)"
16-12-2022 13:54:12.073842,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.6, 6.2294117647058815)"
16-12-2022 13:54:13.106262,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.6, 6.064705882352941)"
16-12-2022 13:54:14.144990,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.064705882352941)"
16-12-2022 13:54:15.116348,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 6.55)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.064705882352941)"
16-12-2022 13:54:16.186471,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.6, 5.575)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.064705882352941)"
16-12-2022 13:54:17.269797,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.8, 5.575)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.064705882352941)"
16-12-2022 13:54:18.352389,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.8, 5.575)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.064705882352941)"
16-12-2022 13:54:19.407906,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.8, 5.575)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.064705882352941)"
16-12-2022 13:54:20.554675,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.8, 6.933333333333334)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.4, 6.4, 6.064705882352941)"
16-12-2022 13:54:21.548133,"(4.8, 9.0, 6.057894736842105)","(7.0, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 8.8, 6.933333333333334)","(21.0, 75.0, 45.13333333333333)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:22.554199,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.433333333333334)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:23.586387,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.433333333333334)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:24.630663,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.433333333333334)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:25.683464,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.433333333333334)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:26.778484,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:27.863597,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:28.925626,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:29.951228,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:31.076691,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:32.233941,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 6.064705882352941)"
16-12-2022 13:54:33.262177,"(5.0, 9.0, 6.057894736842105)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 5.976470588235294)"
16-12-2022 13:54:34.359547,"(5.0, 8.8, 5.994736842105263)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 5.976470588235294)"
16-12-2022 13:54:35.498563,"(5.0, 8.8, 5.994736842105263)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 5.976470588235294)"
16-12-2022 13:54:36.587307,"(5.0, 8.8, 5.994736842105263)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 5.976470588235294)"
16-12-2022 13:54:37.709702,"(5.0, 8.8, 5.994736842105263)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 5.976470588235294)"
16-12-2022 13:54:38.879474,"(5.0, 8.8, 5.994736842105263)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 5.976470588235294)"
16-12-2022 13:54:40.046110,"(5.0, 8.8, 5.994736842105263)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 5.976470588235294)"
16-12-2022 13:54:41.126417,"(5.0, 8.8, 5.994736842105263)","(7.5, 12.5, 8.811764705882354)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 5.976470588235294)"
16-12-2022 13:54:42.152529,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 8.66)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 5.976470588235294)"
16-12-2022 13:54:43.302892,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 8.66)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 6.4, 5.4399999999999995)"
16-12-2022 13:54:44.376896,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 8.66)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.799999999999999)","(21.0, 75.0, 35.0)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.8, 5.4399999999999995)"
16-12-2022 13:54:45.485811,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 8.66)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.185714285714285)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.8, 5.36)"
16-12-2022 13:54:46.671717,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 8.333333333333334)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.433333333333334)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:47.802009,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 8.333333333333334)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.433333333333334)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.8, 5.3)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:48.875489,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 8.333333333333334)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.433333333333334)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.8, 5.22)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:49.932077,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 8.333333333333334)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.433333333333334)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 5.22)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:51.003896,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 8.333333333333334)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 5.22)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:52.053308,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 5.22)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:53.126359,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 5.22)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:54.264349,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 5.22)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:55.411515,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 5.22)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:56.489921,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 5.22)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:57.533324,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 5.22)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:58.639410,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 5.22)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:54:59.737042,"(5.0, 8.8, 5.994736842105263)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:00.791090,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:01.885057,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:03.010050,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:04.070874,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:05.217811,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:06.378630,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:07.551607,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:08.642836,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:09.835782,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:11.227990,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 7.2714285714285705)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:12.409943,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.466666666666665)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:13.606096,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.466666666666665)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:14.855137,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.466666666666665)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
16-12-2022 13:55:15.975713,"(5.0, 8.8, 7.433333333333334)","(7.5, 13.0, 10.428571428571429)","(9.0, 17.5, 15.014285714285714)","(4.8, 9.2, 8.466666666666665)","(21.0, 75.0, 35.72727272727273)","(4.6, 6.6, 6.181818181818182)","(6.5, 15.5, 10.707692307692307)","(4.0, 5.7, 5.36)"
